"";"Lp";"kod";"Pytanie";"Minimum";"Maksimum";"Min";"Max";"n";"Œrednia";"SD"
"pomidor.kraj";73;"pomidor.kraj";"W jakim stopniu kraj pochodzenia jest wa¿ny dla Pana Pani przy ich wyborze";"Wcale";"W najwy¿szym stopniu";0;10;182;5,643;2,902
"pomidor.barwa";74;"pomidor.barwa";"W jakim stopniu kolor skórki jest wa¿ny dla Pana Pani przy ich wyborze";"Wcale";"W najwy¿szym stopniu";0;10;182;7,725;2,092
"pomidor.kwasnosc";75;"pomidor.kwasnosc";"Jakie pomidory Pan Pani wybiera ze wzglêdu na smak ";"S³odkie";"Kwaœne";1;7;182;3,137;1,247
"pomidor.miekkosc";76;"pomidor.miekkosc";"W jakim stopniu miêkkoœæ pomidorów jest wa¿na dla Pana Pani przy ich wyborze ";"Wcale";"W najwy¿szym stopniu";0;10;182;7,11;2,038
"pomidor.spozycie";77;"pomidor.spozycie";"Spo¿ycie pomidorów";"Nigdy";"2-3 razy dziennie";0;1;195;0,109;0,13
"pomidor.okres";78;"pomidor.okres";"Sezonowoœæ/promocja przy zakupie";"Niezale¿nie od ceny i sezonu";"Zale¿nie od ceny i sezonu";0;1;195;0,292;0,456
"pomidor.sklep";79;"pomidor.sklep";"Miejsce zakupu";"Z ogródka/bezpoœrednio od rolnika";"Hipermarket/supermarket";0;1;182;0,543;0,304
"pomidor.obrobka";80;"pomidor.obrobka";"Czy Pana Pani zdaniem pomidory s¹ trudne w obróbce ";"Zdecydowanie nie";"Zdecydowanie tak";1;5;195;1,718;0,895
"pomidor.potrawy";81;"pomidor.potrawy";"Czy Pana Pani zdaniem pomidory nadaj¹ siê do przygotowania wielu potraw ";"Zdecydowanie nie";"Zdecydowanie tak";1;5;195;4,487;0,802
"pomidor.zdrowotnosc";82;"pomidor.zdrowotnosc";"Czy Pana Pani zdaniem pomidory maj¹ korzystny wp³yw na zdrowie ";"Zdecydowanie nie";"Zdecydowanie tak";3;5;195;4,574;0,616
"pomidor.smak";83;"pomidor.smak";"Czy Pana Pani zdaniem pomidory dostêpne na polskim rynku s¹ smaczne ";"Zdecydowanie nie";"Zdecydowanie tak";1;5;195;4,344;0,753
"pomidor.jakosc";84;"pomidor.jakosc";"Czy Pana Pani zdaniem pomidory dostêpne na polskim rynku maj¹ dobr¹ jakoœæ ";"Zdecydowanie nie";"Zdecydowanie tak";2;5;195;4,262;0,779
"pomidor.produkty";85;"pomidor.produkty";"Ró¿norodnoœæ preferowanych produktów";"Ma³a";"Du¿a";0;1;195;0,506;0,196
"jablko.cena";86;"jablko.cena";"W jakim stopniu cena jest wa¿na dla Pana Pani przy ich wyborze";"Wcale";"W najwy¿szym stopniu";0;10;187;5,684;2,636
"jablko.miejsce";87;"jablko.miejsce";"W jakim stopniu miejsce zakupu jest wa¿ne dla Pana Pani przy ich wyborze";"Wcale";"W najwy¿szym stopniu";0;10;187;5,588;2,562
"jablko.swiezosc";88;"jablko.swiezosc";"W jakim stopniu œwie¿oœæ jest wa¿na dla Pana Pani przy ich wyborze";"Wcale";"W najwy¿szym stopniu";0;10;187;8,337;1,722
"jablko.rodzaj";89;"jablko.rodzaj";"W jakim stopniu odmiana jab³ek jest wa¿na dla Pana Pani przy ich wyborze ";"Wcale";"W najwy¿szym stopniu";0;10;187;7,444;2,197
"jablko.kraj";90;"jablko.kraj";"W jakim stopniu kraj pochodzenia jest wa¿ny dla Pana Pani przy ich wyborze";"Wcale";"W najwy¿szym stopniu";0;10;187;6,743;2,803
